Partido,Fecha_Hora_COT,Score_Final,Diferencia_Cuota_Promedio,Mercado,Cuota,Casa_Apuestas,Margen_Casa_Pct,Margen_Mercado_Promedio_Pct,Ventaja_Margen_Pct,Cuota_Promedio_Mercado,Bwin_Cuota_1,Bwin_Cuota_X,Bwin_Cuota_2,Bwin_Margen_Pct
"Brest vs Metz","2025-11-23 11:15",0.5028,0.0233,"1X",1.23,"pinnacle",3.62,5.44,1.82,1.2067,,,,
"Excelsior vs NAC Breda","2025-11-29 10:30",0.5016,0.0599,"X2",1.6439,"bwin",6.28,9.43,3.15,1.584,2.2,3.5,3.1,6.28
"Go Ahead Eagles vs VfB Stuttgart","2025-11-27 15:00",0.4987,0.0205,"X2",1.16,"marathonbet",3.87,5.8,1.93,1.1395,5.5,4.5,1.52,6.19
"Lille vs Dinamo Zagreb","2025-11-27 12:45",0.4962,0.0258,"1X",1.19,"betsson",3.95,5.91,1.96,1.1642,1.62,4.2,5.0,5.54
"Lille vs Dinamo Zagreb","2025-11-27 12:45",0.4962,0.0796,"X2",2.37,"betsson",3.95,5.91,1.96,2.2904,1.62,4.2,5.0,5.54
"Real Betis vs FC Utrecht","2025-11-27 15:00",0.4948,0.3053,"X2",3.88,"betsson",3.88,5.8,1.92,3.5747,1.3,5.5,10.0,5.1
"PAOK vs SK Brann","2025-11-27 12:45",0.4929,0.0364,"1X",1.19,"betsson",3.51,5.24,1.73,1.1536,1.55,4.33,5.5,5.79
"Feyenoord vs Celtic","2025-11-27 12:45",0.4806,0.0286,"1X",1.23,"betsson",4.12,6.1,1.98,1.2014,1.68,4.2,4.4,6.06
"Rosario Central vs Estudiantes","2025-11-23 15:30",0.473,0.0211,"1X",1.29,"pinnacle",3.89,5.73,1.84,1.2689,2.2,2.87,3.7,7.32
"Rosario Central vs Estudiantes","2025-11-23 15:30",0.473,0.0184,"X2",1.66,"pinnacle",3.89,5.73,1.84,1.6416,2.2,2.87,3.7,7.32
"Cremonese vs AS Roma","2025-11-23 09:00",0.463,0.0517,"1X",2.34,"pinnacle",3.65,5.34,1.69,2.2883,,,,
"Parma vs Udinese","2025-11-29 09:00",0.4557,0.044,"1X",1.47,"betsson",4.85,7.06,2.21,1.426,,,,
"Porto vs Nice","2025-11-27 12:45",0.4527,0.0108,"1X",1.1,"marathonbet",3.91,5.68,1.77,1.0892,1.42,4.6,7.5,5.49
