Partido,Fecha_Hora_Colombia,Liga,Tipo_Mercado,Mercado,Mejor_Cuota,Mejor_Casa,Num_Casas,Score_Final,Diferencia_Cuota_Promedio,Volatilidad_Pct,Margen_Casa_Pct,Cuota_Promedio_Mercado,Todas_Las_Cuotas,BDI_jsd,BDI_n_bookmakers,BDI_std_p,BDI_mad_p,BDI_jsd_fair,BDI_n_bookmakers_fair,BDI_std_p_fair,BDI_mad_p_fair
Galatasaray vs Kasimpasa SK,2025-12-21 12:00:00,Super League,Goles (Over/Under),Over 3.5,1.95,coolbet,16,0.8425,0.0388,2.12,4.19,1.9112,coolbet:1.95; tabtouch:1.93; grosvenor:1.93; leovegas_se:1.93; unibet_se:1.93; unibet_nl:1.93; casumo:1.93; leovegas:1.93; unibet:1.93; pinnacle:1.92; betsson:1.91; nordicbet:1.91; bovada:1.91; codere_it:1.9; betmgm:1.87; tipico_de:1.77,0.000100,16,0.011742,0.006991,0.000130,16,0.013416,0.010557
Fiorentina vs Udinese,2025-12-21 12:00:00,Serie A,Goles (Over/Under),Over 2.5,2.2,leovegas_se,14,0.3032,0.0643,2.47,4.98,2.1357,leovegas_se:2.2; coolbet:2.2; grosvenor:2.18; tabtouch:2.17; unibet_se:2.17; unibet_nl:2.17; casumo:2.17; leovegas:2.15; betsson:2.12; nordicbet:2.12; tipico_de:2.1; codere_it:2.05; williamhill:2.05; betmgm:2.05,0.000100,14,0.011740,0.010271,0.000039,14,0.007339,0.006621
Celtic vs Aberdeen,2025-12-21 10:00:00,Premiership,Goles (Over/Under),Under 2.5,2.6,williamhill,9,0.1504,0.1956,2.88,7.91,2.4044,williamhill:2.6; unibet_nl:2.38; leovegas_se:2.38; unibet_se:2.38; leovegas:2.38; grosvenor:2.38; unibet:2.38; tabtouch:2.38; casumo:2.38,0.000094,9,0.011173,0.007023,0.000061,9,0.008911,0.005566
Genoa vs Atalanta BC,2025-12-21 14:45:00,Serie A,Goles (Over/Under),Over 2.5,2.14,coolbet,14,1.2852,0.0771,2.29,2.91,2.0629,coolbet:2.14; grosvenor:2.1; leovegas_se:2.1; betsson:2.08; nordicbet:2.08; unibet_nl:2.08; tabtouch:2.08; unibet_se:2.08; casumo:2.08; leovegas:2.06; tipico_de:2.05; codere_it:2.0; betmgm:2.0; williamhill:1.95,0.000093,14,0.011365,0.008705,0.000025,14,0.005851,0.004168
Virtus Entella vs Südtirol,2025-12-21 09:00:00,Serie B,Goles (Over/Under),Under 2.5,1.65,codere_it,14,0.4359,0.07,1.77,5.85,1.58,codere_it:1.65; williamhill:1.62; betsson:1.6; nordicbet:1.6; tipico_de:1.6; betmgm:1.57; unibet:1.56; grosvenor:1.56; leovegas:1.56; tabtouch:1.56; casumo:1.56; leovegas_se:1.56; unibet_nl:1.56; unibet_se:1.56,0.000093,14,0.011005,0.009598,0.000023,14,0.005527,0.005020
Goztepe vs Samsunspor,2025-12-21 12:00:00,Super League,Goles (Over/Under),Over 2.5,2.19,coolbet,13,0.378,0.1054,2.39,5.9,2.0846,coolbet:2.19; nordicbet:2.16; betsson:2.16; betmgm:2.1; codere_it:2.09; unibet:2.05; tabtouch:2.05; unibet_se:2.05; casumo:2.05; grosvenor:2.05; leovegas_se:2.05; unibet_nl:2.05; leovegas:2.05,0.000091,13,0.011202,0.009640,0.000034,13,0.006856,0.006267
1. FC Nürnberg vs Hannover 96,2025-12-21 07:30:00,Bundesliga 2,Goles (Over/Under),Over 2.5,1.64,unibet,14,-0.0361,0.0221,1.72,8.59,1.6179,unibet:1.64; leovegas_se:1.64; leovegas:1.64; tabtouch:1.64; unibet_nl:1.64; unibet_se:1.64; casumo:1.64; grosvenor:1.64; williamhill:1.62; tipico_de:1.6; nordicbet:1.58; betsson:1.58; codere_it:1.58; betmgm:1.57,0.000089,14,0.010750,0.009892,0.000095,14,0.011367,0.010935
AEK Athens vs OFI Crete,2025-12-21 14:00:00,Super League,Goles (Over/Under),Over 2.5,1.52,unibet,9,0.0482,0.0167,1.5,8.71,1.5033,unibet:1.52; unibet_nl:1.51; leovegas_se:1.51; casumo:1.51; unibet_se:1.51; grosvenor:1.51; leovegas:1.51; tabtouch:1.51; williamhill:1.44,0.000089,9,0.010378,0.006467,0.000059,9,0.008796,0.005520
Celtic vs Aberdeen,2025-12-21 10:00:00,Premiership,Goles (Over/Under),Over 3.5,2.18,betsson,5,0.0934,0.042,2.24,7.6,2.138,betsson:2.18; nordicbet:2.18; betmgm:2.15; codere_it:2.13; tipico_de:2.05,0.000083,5,0.010725,0.008542,0.000054,5,0.008578,0.006752
Granada CF vs Albacete,2025-12-21 12:30:00,La Liga 2,Goles (Over/Under),Under 2.5,1.77,unibet,15,-0.026,0.028,1.82,8.85,1.742,unibet:1.77; unibet_se:1.77; casumo:1.77; tabtouch:1.77; unibet_nl:1.77; leovegas:1.77; grosvenor:1.77; leovegas_se:1.75; williamhill:1.75; coolbet:1.74; tipico_de:1.72; betsson:1.7; nordicbet:1.7; codere_it:1.69; betmgm:1.69,0.000082,15,0.010555,0.009406,0.000085,15,0.010844,0.010465
