fixture_id,bookmaker_id,bookmaker,line,over_odds,under_odds,match,league,starts_at,source,side,odds_decimal,event_id,odds_american
1378047.0,32,Betano,2.25,2.05,1.82,Lecce vs Roma,Serie A,2026-01-06T17:00:00+00:00,API-FOOTBALL,under,1.82,,
1378047.0,32,Betano,2.5,2.35,1.62,Lecce vs Roma,Serie A,2026-01-06T17:00:00+00:00,API-FOOTBALL,over,2.35,,
1378047.0,32,Betano,2.5,2.35,1.62,Lecce vs Roma,Serie A,2026-01-06T17:00:00+00:00,API-FOOTBALL,under,1.62,,
1378047.0,32,Betano,2.75,2.77,1.47,Lecce vs Roma,Serie A,2026-01-06T17:00:00+00:00,API-FOOTBALL,over,2.77,,
1378047.0,32,Betano,2.75,2.77,1.47,Lecce vs Roma,Serie A,2026-01-06T17:00:00+00:00,API-FOOTBALL,under,1.47,,
1378047.0,32,Betano,3.5,4.25,1.23,Lecce vs Roma,Serie A,2026-01-06T17:00:00+00:00,API-FOOTBALL,over,4.25,,
1378047.0,32,Betano,3.5,4.25,1.23,Lecce vs Roma,Serie A,2026-01-06T17:00:00+00:00,API-FOOTBALL,under,1.23,,
1378047.0,32,Betano,0.5,1.1,7.2,Lecce vs Roma,Serie A,2026-01-06T17:00:00+00:00,API-FOOTBALL,over,1.1,,
1378047.0,32,Betano,0.5,1.1,7.2,Lecce vs Roma,Serie A,2026-01-06T17:00:00+00:00,API-FOOTBALL,under,7.2,,
1378047.0,32,Betano,1.25,1.31,3.65,Lecce vs Roma,Serie A,2026-01-06T17:00:00+00:00,API-FOOTBALL,over,1.31,,
1378047.0,32,Betano,1.25,1.31,3.65,Lecce vs Roma,Serie A,2026-01-06T17:00:00+00:00,API-FOOTBALL,under,3.65,,
1378047.0,32,Betano,3.0,3.6,1.31,Lecce vs Roma,Serie A,2026-01-06T17:00:00+00:00,API-FOOTBALL,over,3.6,,
1378047.0,32,Betano,3.0,3.6,1.31,Lecce vs Roma,Serie A,2026-01-06T17:00:00+00:00,API-FOOTBALL,under,1.31,,
1378047.0,32,Betano,4.5,8.25,1.08,Lecce vs Roma,Serie A,2026-01-06T17:00:00+00:00,API-FOOTBALL,over,8.25,,
1378047.0,32,Betano,4.5,8.25,1.08,Lecce vs Roma,Serie A,2026-01-06T17:00:00+00:00,API-FOOTBALL,under,1.08,,
1378047.0,32,Betano,5.5,14.0,1.03,Lecce vs Roma,Serie A,2026-01-06T17:00:00+00:00,API-FOOTBALL,over,14.0,,
1378047.0,32,Betano,5.5,14.0,1.03,Lecce vs Roma,Serie A,2026-01-06T17:00:00+00:00,API-FOOTBALL,under,1.03,,
1378047.0,34,Superbet,1.5,1.44,2.8,Lecce vs Roma,Serie A,2026-01-06T17:00:00+00:00,API-FOOTBALL,over,1.44,,
1378047.0,34,Superbet,1.5,1.44,2.8,Lecce vs Roma,Serie A,2026-01-06T17:00:00+00:00,API-FOOTBALL,under,2.8,,
