Partido,Fecha_Hora_Colombia,Liga,Tipo_Mercado,Mercado,Mejor_Cuota,Mejor_Casa,Num_Casas,Score_Final,Diferencia_Cuota_Promedio,Volatilidad_Pct,Margen_Casa_Pct,Cuota_Promedio_Mercado,Todas_Las_Cuotas,Confianza,Marcador,Resultado,Estado_Partido,Fuente_Web,Actualizado_Web_UTC
Falkirk F.C. vs Hearts,2025-12-13 15:00:00,Premiership,Doble Chance,X2,1.23,pinnacle,4,0.9315,0.025,1.71,3.65,1.205,pinnacle:1.23; betsson:1.22; marathonbet:1.19; codere_it:1.18,68.37,0-2,Acertado,,,
Gazişehir Gaziantep vs Goztepe,2025-12-14 06:30:00,Super League,Goles (Over/Under),Over 2.5,1.96,pinnacle,3,0.8343,0.0333,1.49,3.38,1.9267,pinnacle:1.96; betsson:1.93; codere_it:1.89,67.66,0-1,Fallido,,,
Deportivo La Coruña vs Real Sociedad B,2025-12-13 15:00:00,La Liga 2,Doble Chance,X2,2.74,pinnacle,4,0.9945,0.175,4.39,3.61,2.565,pinnacle:2.74; marathonbet:2.58; betsson:2.5; codere_it:2.44,66.75,0-3,Acertado,,,
Aberdeen vs Kilmarnock,2025-12-14 10:00:00,Premiership,Goles (Over/Under),Over 2.5,1.98,pinnacle,3,0.8947,0.0633,2.77,3.42,1.9167,pinnacle:1.98; betsson:1.92; codere_it:1.85,66.3,2-1,Acertado,,,
Zaragoza vs Cádiz CF,2025-12-13 15:00:00,La Liga 2,Doble Chance,X2,1.73,pinnacle,3,0.9003,0.0567,2.41,3.41,1.6733,pinnacle:1.73; marathonbet:1.65; betsson:1.64,66.12,1-2,Acertado,,,
FC Schalke 04 vs 1. FC Nürnberg,2025-12-14 07:30:00,Bundesliga 2,Goles (Over/Under),Over 2.5,1.93,pinnacle,3,0.9091,0.08,3.09,3.63,1.85,pinnacle:1.93; betsson:1.82; codere_it:1.8,66.02,1-0,Fallido,,,
Samsunspor vs Basaksehir,2025-12-14 12:00:00,Super League,Goles (Over/Under),Over 2.5,1.88,pinnacle,3,0.8401,0.05,2.23,3.44,1.83,pinnacle:1.88; betsson:1.83; codere_it:1.78,65.5,0-2,Fallido,,,
Deportivo La Coruña vs Real Sociedad B,2025-12-13 15:00:00,La Liga 2,Goles (Over/Under),Under 2.5,2.01,pinnacle,3,1.2925,0.0767,2.81,2.94,1.9333,pinnacle:2.01; betsson:1.9; codere_it:1.89,65.34,0-3,Fallido,,,
Getafe vs Espanyol,2025-12-13 15:00:00,La Liga,Doble Chance,X2,1.52,pinnacle,4,0.4539,0.01,0.66,2.71,1.51,pinnacle:1.52; marathonbet:1.52; codere_it:1.5; betsson:1.5,65.25,0-1,Acertado,,,
Jahn Regensburg vs Waldhof Mannheim,2025-12-14 10:30:00,3. Liga,Goles (Over/Under),Over 2.5,1.58,betsson,2,0.036,0.005,0.32,8.34,1.575,betsson:1.58; codere_it:1.57,64.73,3-0,Acertado,,,
Falkirk F.C. vs Hearts,2025-12-13 15:00:00,Premiership,Goles (Over/Under),Over 2.5,1.9,pinnacle,3,0.7986,0.0667,2.72,2.88,1.8333,pinnacle:1.9; codere_it:1.82; betsson:1.78,64.58,0-2,Fallido,,,
West Ham United vs Aston Villa,2025-12-14 09:00:00,EPL,Goles (Over/Under),Over 2.5,1.89,pinnacle,3,0.8291,0.0467,3.2,3.16,1.8433,pinnacle:1.89; betsson:1.88; codere_it:1.76,64.33,2-3,Acertado,,,
Racing Club vs Estudiantes,2025-12-13 19:00:00,Primera División,Doble Chance,X2,1.4,pinnacle,3,0.5888,0.0133,0.9,3.21,1.3867,pinnacle:1.4; betsson:1.39; marathonbet:1.37,64.11,1-1,Acertado,,,
