Mercado,N,Rend_Total,ROI,Variable,r,p
Over 2.5,1725,-110.2,-6.38840579710145,Num_Casas,-0.005871459755184079,0.807474505078196
Over 2.5,1725,-110.2,-6.38840579710145,Diferencia_Cuota_Promedio,-0.016703712614056728,0.4881195680709305
Over 2.5,1725,-110.2,-6.38840579710145,Volatilidad_Pct,0.022214302392762928,0.35648984533228906
Over 2.5,1725,-110.2,-6.38840579710145,Margen_Casa_Pct,0.049807247396152145,0.03859917053280462
Over 2.75,345,-13.480000000000008,-3.907246376811596,Mejor_Cuota,0.06490064536970594,0.22922059150429966
Over 2.75,345,-13.480000000000008,-3.907246376811596,Cuota_Promedio_Mercado,0.06886754965125785,0.20194455334277026
Over 2.75,345,-13.480000000000008,-3.907246376811596,BDI_jsd_fair,-0.0026882285503956453,0.9603212091035485
Over 2.75,345,-13.480000000000008,-3.907246376811596,BDI_n_bookmakers_fair,-0.006889782513899297,0.8985374695494173
Over 2.75,345,-13.480000000000008,-3.907246376811596,BDI_std_p_fair,0.011279428951715508,0.8346415421967868
Over 2.75,345,-13.480000000000008,-3.907246376811596,BDI_mad_p_fair,0.0019390872661299383,0.9713730462935533
Over 2.75,345,-13.480000000000008,-3.907246376811596,BDI_jsd,0.02107707240979159,0.6964538951279194
Over 2.75,345,-13.480000000000008,-3.907246376811596,BDI_n_bookmakers,-0.006889782513899297,0.8985374695494173
Over 2.75,345,-13.480000000000008,-3.907246376811596,BDI_std_p,0.035444942651861315,0.5117099500317979
Over 2.75,345,-13.480000000000008,-3.907246376811596,BDI_mad_p,0.0326863803430222,0.5451252584086302
Over 2.75,345,-13.480000000000008,-3.907246376811596,Num_Casas,-0.006889782513899297,0.8985374695494173
Over 2.75,345,-13.480000000000008,-3.907246376811596,Diferencia_Cuota_Promedio,0.01876294673089094,0.7283869632929089
Over 2.75,345,-13.480000000000008,-3.907246376811596,Volatilidad_Pct,0.036648905732202766,0.49746697666717515
Over 2.75,345,-13.480000000000008,-3.907246376811596,Margen_Casa_Pct,-0.0015217631538785132,0.9775322030896252
Over 3.0,205,-66.38,-32.380487804878044,Mejor_Cuota,-0.12232275576838054,0.0805933901164161
Over 3.0,205,-66.38,-32.380487804878044,Cuota_Promedio_Mercado,-0.11704101989213529,0.09466749439910525
Over 3.0,205,-66.38,-32.380487804878044,BDI_jsd_fair,0.016588140501144148,0.8133783642629081
Over 3.0,205,-66.38,-32.380487804878044,BDI_n_bookmakers_fair,-0.062419242505080935,0.37394390138082056
Over 3.0,205,-66.38,-32.380487804878044,BDI_std_p_fair,0.013008659033137929,0.8531313219673274
Over 3.0,205,-66.38,-32.380487804878044,BDI_mad_p_fair,0.0011798374107844308,0.9866046166083995
Over 3.0,205,-66.38,-32.380487804878044,BDI_jsd,-0.031677632260290155,0.6520655938565818
Over 3.0,205,-66.38,-32.380487804878044,BDI_n_bookmakers,-0.062419242505080935,0.37394390138082056
Over 3.0,205,-66.38,-32.380487804878044,BDI_std_p,-0.05451358540871165,0.4375597161230073
Over 3.0,205,-66.38,-32.380487804878044,BDI_mad_p,-0.05485355688150763,0.4347028893546587
Over 3.0,205,-66.38,-32.380487804878044,Num_Casas,-0.062419242505080935,0.37394390138082056
Over 3.0,205,-66.38,-32.380487804878044,Diferencia_Cuota_Promedio,-0.06539034995604884,0.3515847282220306
Over 3.0,205,-66.38,-32.380487804878044,Volatilidad_Pct,-0.0651498248093606,0.3533629009690899
Over 3.0,205,-66.38,-32.380487804878044,Margen_Casa_Pct,0.11336931847310486,0.10555523148646083
Over 3.25,60,-4.9300000000000015,-8.216666666666669,Mejor_Cuota,0.04985090832367414,0.7052405125462872
Over 3.25,60,-4.9300000000000015,-8.216666666666669,Cuota_Promedio_Mercado,0.0799672174449221,0.5436072986660487
Over 3.25,60,-4.9300000000000015,-8.216666666666669,BDI_jsd_fair,-0.1772970124249722,0.17535019601930138
Over 3.25,60,-4.9300000000000015,-8.216666666666669,BDI_n_bookmakers_fair,0.01667067936279576,0.8993971986280178
Over 3.25,60,-4.9300000000000015,-8.216666666666669,BDI_std_p_fair,-0.1696873203424536,0.19491839623542506
Over 3.25,60,-4.9300000000000015,-8.216666666666669,BDI_mad_p_fair,-0.17089214067515557,0.1917205213025915
Over 3.25,60,-4.9300000000000015,-8.216666666666669,BDI_jsd,-0.12666792926827966,0.3348365836957257
Over 3.25,60,-4.9300000000000015,-8.216666666666669,BDI_n_bookmakers,0.01667067936279576,0.8993971986280178
Over 3.25,60,-4.9300000000000015,-8.216666666666669,BDI_std_p,-0.14710404399022384,0.2620291057786806
Over 3.25,60,-4.9300000000000015,-8.216666666666669,BDI_mad_p,-0.1660343786718603,0.20484659212217995
Over 3.25,60,-4.9300000000000015,-8.216666666666669,Num_Casas,0.01667067936279576,0.8993971986280178
Over 3.25,60,-4.9300000000000015,-8.216666666666669,Diferencia_Cuota_Promedio,-0.0747378656468283,0.5703517001630262
Over 3.25,60,-4.9300000000000015,-8.216666666666669,Volatilidad_Pct,-0.13161779644983224,0.31613595223148544
Over 3.25,60,-4.9300000000000015,-8.216666666666669,Margen_Casa_Pct,-0.034662540180640466,0.7926077621193642
Over 3.5,187,-8.120000000000001,-4.342245989304813,Mejor_Cuota,0.14943359152171354,0.04122622493249203
Over 3.5,187,-8.120000000000001,-4.342245989304813,Cuota_Promedio_Mercado,0.15822668669776835,0.030552502928891653
Over 3.5,187,-8.120000000000001,-4.342245989304813,BDI_jsd_fair,0.044382020508397346,0.5464136577003093
Over 3.5,187,-8.120000000000001,-4.342245989304813,BDI_n_bookmakers_fair,-0.17492106889113998,0.016644794268740416
Over 3.5,187,-8.120000000000001,-4.342245989304813,BDI_std_p_fair,0.041507280585170565,0.5727263487646853
Over 3.5,187,-8.120000000000001,-4.342245989304813,BDI_mad_p_fair,0.051186259803432756,0.4866013911598506
Over 3.5,187,-8.120000000000001,-4.342245989304813,BDI_jsd,0.09902131986529673,0.17755132638852247
Over 3.5,187,-8.120000000000001,-4.342245989304813,BDI_n_bookmakers,-0.17492106889113998,0.016644794268740416
Over 3.5,187,-8.120000000000001,-4.342245989304813,BDI_std_p,0.07110751683140265,0.3335012814266907
Over 3.5,187,-8.120000000000001,-4.342245989304813,BDI_mad_p,0.052600065007370016,0.474629285006008
Over 3.5,187,-8.120000000000001,-4.342245989304813,Num_Casas,-0.17492106889113998,0.016644794268740416
Over 3.5,187,-8.120000000000001,-4.342245989304813,Diferencia_Cuota_Promedio,-0.00469336834001465,0.9491686105147479
Over 3.5,187,-8.120000000000001,-4.342245989304813,Volatilidad_Pct,0.1279294739437246,0.08100996426000073
Over 3.5,187,-8.120000000000001,-4.342245989304813,Margen_Casa_Pct,-0.013795655335985459,0.851349591475488
Under 1.5,89,8.220000000000002,9.235955056179778,Mejor_Cuota,-0.1545480792596354,0.14815011469341136
Under 1.5,89,8.220000000000002,9.235955056179778,Cuota_Promedio_Mercado,-0.17509246209195245,0.10076156850921487
Under 1.5,89,8.220000000000002,9.235955056179778,BDI_jsd_fair,0.07128815124024543,0.5067740414460724
Under 1.5,89,8.220000000000002,9.235955056179778,BDI_n_bookmakers_fair,0.13212459702628457,0.2171062090358049
Under 1.5,89,8.220000000000002,9.235955056179778,BDI_std_p_fair,0.1061017974768146,0.32236524690580987
Under 1.5,89,8.220000000000002,9.235955056179778,BDI_mad_p_fair,0.11349184447310803,0.2896133651505707
Under 1.5,89,8.220000000000002,9.235955056179778,BDI_jsd,0.04023476361751366,0.7081366600347763
Under 1.5,89,8.220000000000002,9.235955056179778,BDI_n_bookmakers,0.13212459702628457,0.2171062090358049
Under 1.5,89,8.220000000000002,9.235955056179778,BDI_std_p,0.047572170182903877,0.6579817792657465
Under 1.5,89,8.220000000000002,9.235955056179778,BDI_mad_p,0.07559195577191641,0.4813953296891202
Under 1.5,89,8.220000000000002,9.235955056179778,Num_Casas,0.13212459702628457,0.2171062090358049
Under 1.5,89,8.220000000000002,9.235955056179778,Diferencia_Cuota_Promedio,0.007123515529090374,0.9471756699968353
Under 1.5,89,8.220000000000002,9.235955056179778,Volatilidad_Pct,0.020471596984018986,0.8489812644732598
Under 1.5,89,8.220000000000002,9.235955056179778,Margen_Casa_Pct,0.0033849718226974476,0.9748848191834083
Under 1.75,38,7.74,20.36842105263158,Mejor_Cuota,-0.05519938623225556,0.7420376662756409
Under 1.75,38,7.74,20.36842105263158,Cuota_Promedio_Mercado,0.015496749354965568,0.9264257835604992
Under 1.75,38,7.74,20.36842105263158,BDI_jsd_fair,-0.26473830729071596,0.10821945028651693
Under 1.75,38,7.74,20.36842105263158,BDI_n_bookmakers_fair,0.132287683033362,0.42852179010000746
Under 1.75,38,7.74,20.36842105263158,BDI_std_p_fair,-0.2850251316567008,0.08282899234576542
Under 1.75,38,7.74,20.36842105263158,BDI_mad_p_fair,-0.3211838866892615,0.04927373899244694
Under 1.75,38,7.74,20.36842105263158,BDI_jsd,-0.1595816721610723,0.33855823057902035
Under 1.75,38,7.74,20.36842105263158,BDI_n_bookmakers,0.132287683033362,0.42852179010000746
Under 1.75,38,7.74,20.36842105263158,BDI_std_p,-0.20190073508126813,0.22414110531236756
Under 1.75,38,7.74,20.36842105263158,BDI_mad_p,-0.2703669736472073,0.10064879887287709
Under 1.75,38,7.74,20.36842105263158,Num_Casas,0.132287683033362,0.42852179010000746
Under 1.75,38,7.74,20.36842105263158,Diferencia_Cuota_Promedio,-0.3046909450360373,0.06288561495056197
Under 1.75,38,7.74,20.36842105263158,Volatilidad_Pct,-0.1967411566104623,0.23645489054583987
Under 1.75,38,7.74,20.36842105263158,Margen_Casa_Pct,0.26351431649139534,0.10992140883958548
Under 2.0,187,-78.94,-42.213903743315505,Mejor_Cuota,0.06270513377439466,0.39389798675538995
Under 2.0,187,-78.94,-42.213903743315505,Cuota_Promedio_Mercado,0.07468381626672772,0.30969728584114625
Under 2.0,187,-78.94,-42.213903743315505,BDI_jsd_fair,0.02546406264900928,0.7293899932381407
Under 2.0,187,-78.94,-42.213903743315505,BDI_n_bookmakers_fair,-0.02959655895121701,0.6876095376965209
Under 2.0,187,-78.94,-42.213903743315505,BDI_std_p_fair,0.028783330144901684,0.695761772532233
Under 2.0,187,-78.94,-42.213903743315505,BDI_mad_p_fair,0.014182747147462215,0.8472288519607245
Under 2.0,187,-78.94,-42.213903743315505,BDI_jsd,-0.00230290631926759,0.9750457184013953
Under 2.0,187,-78.94,-42.213903743315505,BDI_n_bookmakers,-0.02959655895121701,0.6876095376965209
Under 2.0,187,-78.94,-42.213903743315505,BDI_std_p,-0.018810006823981682,0.7983208281879943
Under 2.0,187,-78.94,-42.213903743315505,BDI_mad_p,-0.004867427522014264,0.9472861417778907
Under 2.0,187,-78.94,-42.213903743315505,Num_Casas,-0.02959655895121701,0.6876095376965209
Under 2.0,187,-78.94,-42.213903743315505,Diferencia_Cuota_Promedio,-0.01707563670965309,0.8165713781234611
Under 2.0,187,-78.94,-42.213903743315505,Volatilidad_Pct,-0.007081645700913016,0.9233681423878527
Under 2.0,187,-78.94,-42.213903743315505,Margen_Casa_Pct,0.03881649106496238,0.5978830467676816
Under 2.25,449,80.58999999999999,17.948775055679285,Mejor_Cuota,-0.01123882124127762,0.8122766671710746
Under 2.25,449,80.58999999999999,17.948775055679285,Cuota_Promedio_Mercado,-0.009465971619310202,0.8414604823854573
Under 2.25,449,80.58999999999999,17.948775055679285,BDI_jsd_fair,0.020236926926774236,0.668897758108389
Under 2.25,449,80.58999999999999,17.948775055679285,BDI_n_bookmakers_fair,0.021069467700771834,0.656132637271551
Under 2.25,449,80.58999999999999,17.948775055679285,BDI_std_p_fair,0.025488679496538352,0.5901094547442405
Under 2.25,449,80.58999999999999,17.948775055679285,BDI_mad_p_fair,0.028286016824038,0.5499608362938425
Under 2.25,449,80.58999999999999,17.948775055679285,BDI_jsd,0.02715655265035377,0.5660091883381817
Under 2.25,449,80.58999999999999,17.948775055679285,BDI_n_bookmakers,0.021069467700771834,0.656132637271551
Under 2.25,449,80.58999999999999,17.948775055679285,BDI_std_p,0.013801303593930931,0.7705595400937537
Under 2.25,449,80.58999999999999,17.948775055679285,BDI_mad_p,0.011314516513378146,0.811036069371559
Under 2.25,449,80.58999999999999,17.948775055679285,Num_Casas,0.021069467700771834,0.656132637271551
Under 2.25,449,80.58999999999999,17.948775055679285,Diferencia_Cuota_Promedio,-0.01252206175690563,0.7913110962794988
Under 2.25,449,80.58999999999999,17.948775055679285,Volatilidad_Pct,0.011344536666597859,0.8105441887495611
Under 2.25,449,80.58999999999999,17.948775055679285,Margen_Casa_Pct,0.056877201595733756,0.22904574230591257
Under 2.5,1725,11.84000000000001,0.6863768115942035,Mejor_Cuota,0.012275509038768529,0.6104089431680673
Under 2.5,1725,11.84000000000001,0.6863768115942035,Cuota_Promedio_Mercado,0.011115289768329359,0.6445602403427809
Under 2.5,1725,11.84000000000001,0.6863768115942035,BDI_jsd_fair,-0.017688284271027182,0.46284237873749373
Under 2.5,1725,11.84000000000001,0.6863768115942035,BDI_n_bookmakers_fair,0.015133063206470622,0.5299360220268949
Under 2.5,1725,11.84000000000001,0.6863768115942035,BDI_std_p_fair,-0.022951655637456755,0.34074799915421483
Under 2.5,1725,11.84000000000001,0.6863768115942035,BDI_mad_p_fair,-0.019958309786387823,0.4074369317564093
Under 2.5,1725,11.84000000000001,0.6863768115942035,BDI_jsd,-0.012766969414482882,0.5961886924447686
Under 2.5,1725,11.84000000000001,0.6863768115942035,BDI_n_bookmakers,0.015133063206470622,0.5299360220268949
