Partido,Fecha_Hora_Colombia,Liga,Tipo_Mercado,Mercado,Mejor_Cuota,Mejor_Casa,Num_Casas,Score_Final,Diferencia_Cuota_Promedio,Volatilidad_Pct,Margen_Casa_Pct,Cuota_Promedio_Mercado,Todas_Las_Cuotas,Marcador,Resultado,BDI_jsd,BDI_n_bookmakers,BDI_std_p,BDI_mad_p
Real Madrid vs Sevilla,2025-12-20 15:00:00,La Liga,Goles (Over/Under),Over 3.5,1.93,pinnacle,3,0.7741,0.04,1.98,3.63,1.89,pinnacle:1.93; betsson:1.9; codere_it:1.84,2-0,Fallido,0.000081,3,0.010561,0.009446
Exeter City vs Barnsley,2025-12-20 10:00:00,League 1,Goles (Over/Under),Under 2.5,2.06,codere_it,2,0.0566,0.04,1.98,6.01,2.02,codere_it:2.06; betsson:1.98,3-0,Fallido,0.000069,2,0.009807,0.009807
Andorra CF vs Deportivo La Coruña,2025-12-20 08:00:00,La Liga 2,Goles (Over/Under),Over 2.5,1.96,pinnacle,3,1.3604,0.0533,1.98,2.83,1.9067,pinnacle:1.96; betsson:1.88; codere_it:1.88,1-0,Fallido,0.000076,3,0.010235,0.009649
Colchester United vs Newport County,2025-12-20 10:00:00,League 2,Goles (Over/Under),Under 2.5,2.08,betsson,2,0.1039,0.04,1.96,7.6,2.04,betsson:2.08; codere_it:2.0,4-1,Fallido,0.000067,2,0.009615,0.009615
Leyton Orient vs Bradford City,2025-12-20 10:00:00,League 1,Goles (Over/Under),Over 2.5,1.93,pinnacle,3,0.4564,0.0467,1.95,3.9,1.8833,pinnacle:1.93; betsson:1.88; codere_it:1.84,2-1,Acertado,0.000078,3,0.010360,0.008694
Padova vs Sampdoria,2025-12-20 09:00:00,Serie B,Goles (Over/Under),Under 2.5,1.58,codere_it,2,0.262,0.03,1.94,5.84,1.55,codere_it:1.58; betsson:1.52,1-1,Acertado,0.000123,2,0.012492,0.012492
Sheffield United vs Birmingham City,2025-12-20 10:00:00,Championship,Goles (Over/Under),Over 2.5,1.95,pinnacle,3,0.5727,0.0467,1.93,3.37,1.9033,pinnacle:1.95; betsson:1.9; codere_it:1.86,3-0,Acertado,0.000074,3,0.010143,0.008513
Oldham Athletic vs Tranmere Rovers,2025-12-20 10:00:00,League 2,Goles (Over/Under),Under 2.5,1.81,pinnacle,3,0.5074,0.0467,1.93,4.75,1.7633,pinnacle:1.81; betsson:1.75; codere_it:1.73,3-1,Fallido,0.000086,3,0.010828,0.009887
Doncaster Rovers vs Plymouth Argyle,2025-12-20 10:00:00,League 1,Goles (Over/Under),Under 2.5,2.01,pinnacle,3,0.4672,0.05,1.91,3.81,1.96,pinnacle:2.01; codere_it:1.95; betsson:1.92,1-5,Fallido,0.000068,3,0.009675,0.008584
Preston North End vs Norwich City,2025-12-20 07:30:00,Championship,Goles (Over/Under),Under 2.5,1.99,pinnacle,3,0.6614,0.0467,1.89,3.16,1.9433,pinnacle:1.99; codere_it:1.94; betsson:1.9,1-1,Acertado,0.000068,3,0.009730,0.008168
Queens Park Rangers vs Leicester City,2025-12-20 10:00:00,Championship,Goles (Over/Under),Over 2.5,2.0,pinnacle,3,0.5144,0.0467,1.88,3.48,1.9533,pinnacle:2.0; betsson:1.95; codere_it:1.91,4-1,Acertado,0.000067,3,0.009631,0.008085
St Mirren vs Livingston,2025-12-20 10:00:00,Premiership,Goles (Over/Under),Under 2.5,1.93,pinnacle,3,0.5344,0.03,1.87,3.63,1.9,pinnacle:1.93; codere_it:1.92; betsson:1.85,1-0,Acertado,0.000072,3,0.009987,0.009358
Hamburger SV vs Eintracht Frankfurt,2025-12-20 09:30:00,Bundesliga,Goles (Over/Under),Over 2.5,1.68,betsson,2,0.1659,0.03,1.82,6.69,1.65,betsson:1.68; codere_it:1.62,1-1,Fallido,0.000092,2,0.011023,0.011023
CA Osasuna vs Alavés,2025-12-20 12:30:00,La Liga,Goles (Over/Under),Under 1.5,2.52,betsson,2,0.34,0.045,1.82,5.47,2.475,betsson:2.52; codere_it:2.43,3-0,Fallido,0.000040,2,0.007349,0.007349
Melbourne City vs Melbourne Victory,2025-12-20 03:35:00,A-League,Goles (Over/Under),Over 2.5,1.87,pinnacle,3,1.0101,0.0433,1.81,2.98,1.8267,pinnacle:1.87; betsson:1.82; codere_it:1.79,0-1,Fallido,0.000070,3,0.009842,0.008576
Mansfield Town vs Stockport County FC,2025-12-20 10:00:00,League 1,Goles (Over/Under),Under 2.5,1.93,pinnacle,3,0.4744,0.0333,1.79,3.9,1.8967,pinnacle:1.93; codere_it:1.91; betsson:1.85,1-2,Fallido,0.000066,3,0.009544,0.008752
Port Vale vs Peterborough United,2025-12-20 10:00:00,League 1,Goles (Over/Under),Under 2.5,1.9,codere_it,3,-0.0498,0.0367,1.77,5.82,1.8633,codere_it:1.9; pinnacle:1.87; betsson:1.82,0-1,Acertado,0.000066,3,0.009559,0.008406
Dundee United vs Hibernian,2025-12-20 10:00:00,Premiership,Goles (Over/Under),Over 2.5,1.89,pinnacle,3,0.8093,0.04,1.77,3.67,1.85,pinnacle:1.89; betsson:1.85; codere_it:1.81,1-1,Fallido,0.000066,3,0.009548,0.007851
Sheffield United vs Birmingham City,2025-12-20 10:00:00,Championship,Goles (Over/Under),Under 2.5,1.92,pinnacle,3,0.5727,0.0233,1.74,3.37,1.8967,pinnacle:1.92; codere_it:1.92; betsson:1.85,3-0,Fallido,0.000062,3,0.009290,0.008759
Olympiakos Piraeus vs AE Kifisia FC,2025-12-20 13:30:00,Super League,Goles (Over/Under),Under 3.5,1.75,betsson,2,0.4188,0.03,1.74,4.99,1.72,betsson:1.75; codere_it:1.69,1-1,Acertado,0.000076,2,0.010144,0.010144
Everton vs Arsenal,2025-12-20 15:00:00,EPL,Goles (Over/Under),Under 2.5,1.75,betsson,2,0.4643,0.03,1.74,4.76,1.72,betsson:1.75; codere_it:1.69,0-1,Acertado,0.000076,2,0.010144,0.010144
Wigan Athletic vs Blackpool,2025-12-20 07:30:00,League 1,Goles (Over/Under),Over 2.5,2.08,betsson,2,0.1464,0.035,1.71,6.9,2.045,betsson:2.08; codere_it:2.01,0-2,Fallido,0.000051,2,0.008372,0.008372
Fleetwood Town vs Gillingham,2025-12-20 10:00:00,League 2,Goles (Over/Under),Over 2.5,1.96,pinnacle,3,0.4561,0.04,1.7,4.78,1.92,pinnacle:1.96; betsson:1.92; codere_it:1.88,2-1,Acertado,0.000057,3,0.008864,0.007287
