event_id,match,league,starts_at,bookmaker,bookmaker_id,line,side,odds_american,odds_decimal,source
VPp7GFBYEU73LEZOaumj,Napoli vs Verona,Serie A,2026-01-07T17:30:00.000Z,BetPARX,betparx,2.5,over,+100,2.0,SportsGameOdds
VPp7GFBYEU73LEZOaumj,Napoli vs Verona,Serie A,2026-01-07T17:30:00.000Z,BetRivers,betrivers,2.5,over,+100,2.0,SportsGameOdds
VPp7GFBYEU73LEZOaumj,Napoli vs Verona,Serie A,2026-01-07T17:30:00.000Z,BetMGM,betmgm,2.5,over,-102,1.9803921568627452,SportsGameOdds
VPp7GFBYEU73LEZOaumj,Napoli vs Verona,Serie A,2026-01-07T17:30:00.000Z,Bovada,bovada,2.5,over,+105,2.05,SportsGameOdds
VPp7GFBYEU73LEZOaumj,Napoli vs Verona,Serie A,2026-01-07T17:30:00.000Z,BetPARX,betparx,2.5,under,-130,1.7692307692307692,SportsGameOdds
VPp7GFBYEU73LEZOaumj,Napoli vs Verona,Serie A,2026-01-07T17:30:00.000Z,BetRivers,betrivers,2.5,under,-132,1.7575757575757576,SportsGameOdds
VPp7GFBYEU73LEZOaumj,Napoli vs Verona,Serie A,2026-01-07T17:30:00.000Z,BetMGM,betmgm,2.5,under,-137,1.72992700729927,SportsGameOdds
VPp7GFBYEU73LEZOaumj,Napoli vs Verona,Serie A,2026-01-07T17:30:00.000Z,Bovada,bovada,2.5,under,-125,1.8,SportsGameOdds
guYbBksfusZwKsG0c6oy,Bologna vs Atalanta,Serie A,2026-01-07T17:30:00.000Z,Bovada,bovada,2.5,over,+100,2.0,SportsGameOdds
guYbBksfusZwKsG0c6oy,Bologna vs Atalanta,Serie A,2026-01-07T17:30:00.000Z,BetPARX,betparx,2.5,over,-110,1.9090909090909092,SportsGameOdds
guYbBksfusZwKsG0c6oy,Bologna vs Atalanta,Serie A,2026-01-07T17:30:00.000Z,BetRivers,betrivers,2.5,over,-111,1.900900900900901,SportsGameOdds
guYbBksfusZwKsG0c6oy,Bologna vs Atalanta,Serie A,2026-01-07T17:30:00.000Z,BetMGM,betmgm,2.5,over,-114,1.8771929824561404,SportsGameOdds
guYbBksfusZwKsG0c6oy,Bologna vs Atalanta,Serie A,2026-01-07T17:30:00.000Z,Bovada,bovada,2.5,under,-120,1.8333333333333335,SportsGameOdds
guYbBksfusZwKsG0c6oy,Bologna vs Atalanta,Serie A,2026-01-07T17:30:00.000Z,BetPARX,betparx,2.5,under,-118,1.847457627118644,SportsGameOdds
guYbBksfusZwKsG0c6oy,Bologna vs Atalanta,Serie A,2026-01-07T17:30:00.000Z,BetRivers,betrivers,2.5,under,-119,1.8403361344537816,SportsGameOdds
guYbBksfusZwKsG0c6oy,Bologna vs Atalanta,Serie A,2026-01-07T17:30:00.000Z,BetMGM,betmgm,2.5,under,-122,1.819672131147541,SportsGameOdds
Z9cLuKaiFnu3Se5tP8Ww,Lazio vs Fiorentina,Serie A,2026-01-07T19:45:00.000Z,BetPARX,betparx,2.5,over,+117,2.17,SportsGameOdds
Z9cLuKaiFnu3Se5tP8Ww,Lazio vs Fiorentina,Serie A,2026-01-07T19:45:00.000Z,BetRivers,betrivers,2.5,over,+116,2.16,SportsGameOdds
Z9cLuKaiFnu3Se5tP8Ww,Lazio vs Fiorentina,Serie A,2026-01-07T19:45:00.000Z,BetMGM,betmgm,2.5,over,+115,2.15,SportsGameOdds
Z9cLuKaiFnu3Se5tP8Ww,Lazio vs Fiorentina,Serie A,2026-01-07T19:45:00.000Z,BetPARX,betparx,2.5,under,-152,1.6578947368421053,SportsGameOdds
Z9cLuKaiFnu3Se5tP8Ww,Lazio vs Fiorentina,Serie A,2026-01-07T19:45:00.000Z,BetRivers,betrivers,2.5,under,-154,1.6493506493506493,SportsGameOdds
Z9cLuKaiFnu3Se5tP8Ww,Lazio vs Fiorentina,Serie A,2026-01-07T19:45:00.000Z,BetMGM,betmgm,2.5,under,-161,1.62111801242236,SportsGameOdds
t7s9jQg0ryDEXHglvWs7,Parma vs Inter,Serie A,2026-01-07T19:45:00.000Z,BetPARX,betparx,2.5,over,-172,1.5813953488372094,SportsGameOdds
t7s9jQg0ryDEXHglvWs7,Parma vs Inter,Serie A,2026-01-07T19:45:00.000Z,BetRivers,betrivers,2.5,over,-175,1.5714285714285714,SportsGameOdds
t7s9jQg0ryDEXHglvWs7,Parma vs Inter,Serie A,2026-01-07T19:45:00.000Z,BetMGM,betmgm,2.5,over,-167,1.5988023952095807,SportsGameOdds
t7s9jQg0ryDEXHglvWs7,Parma vs Inter,Serie A,2026-01-07T19:45:00.000Z,BetPARX,betparx,2.5,under,+132,2.3200000000000003,SportsGameOdds
t7s9jQg0ryDEXHglvWs7,Parma vs Inter,Serie A,2026-01-07T19:45:00.000Z,BetRivers,betrivers,2.5,under,+130,2.3,SportsGameOdds
t7s9jQg0ryDEXHglvWs7,Parma vs Inter,Serie A,2026-01-07T19:45:00.000Z,BetMGM,betmgm,2.5,under,+120,2.2,SportsGameOdds
v4nNmBr0kgXvL1cRBNhs,Torino vs Udinese,Serie A,2026-01-07T19:45:00.000Z,BetPARX,betparx,2.5,over,+135,2.35,SportsGameOdds
v4nNmBr0kgXvL1cRBNhs,Torino vs Udinese,Serie A,2026-01-07T19:45:00.000Z,BetRivers,betrivers,2.5,over,+133,2.33,SportsGameOdds
v4nNmBr0kgXvL1cRBNhs,Torino vs Udinese,Serie A,2026-01-07T19:45:00.000Z,BetMGM,betmgm,2.5,over,+120,2.2,SportsGameOdds
v4nNmBr0kgXvL1cRBNhs,Torino vs Udinese,Serie A,2026-01-07T19:45:00.000Z,BetPARX,betparx,2.5,under,-175,1.5714285714285714,SportsGameOdds
v4nNmBr0kgXvL1cRBNhs,Torino vs Udinese,Serie A,2026-01-07T19:45:00.000Z,BetRivers,betrivers,2.5,under,-179,1.558659217877095,SportsGameOdds
