side_mode,weekend_mode,top_n,min_bookies_fair,weeks,bets,profit_total,roi_per_bet,hit_rate,avg_odds,avg_bdi,profitable_weeks,nonnegative_weeks
higher,fri_sun,9,8,7,46,2.5499999999999994,0.05543478260869564,0.5,2.150217391304348,0.00010215207849877082,3,3
higher,fri_sun,6,0,7,39,2.530000000000001,0.0648717948717949,0.48717948717948717,2.2100000000000004,0.00011072503670138543,4,4
lower,sat_sun,5,8,7,25,2.41,0.0964,0.6,1.8148000000000002,0.00013259973608403027,5,5
higher,sat_sun,7,4,7,34,2.34,0.0688235294117647,0.5,2.1550000000000002,0.000116787530080112,4,4
higher,sat_sun,7,6,7,34,2.34,0.0688235294117647,0.5,2.1550000000000002,0.000116787530080112,4,4
higher,fri_sun,6,8,7,36,2.27,0.06305555555555556,0.5,2.159166666666667,0.00011025699751008255,5,5
higher,sat_sun,7,8,7,32,2.0699999999999994,0.06468749999999998,0.5,2.1393750000000002,0.0001231816563129402,3,3
lower,fri_sun,5,8,7,32,2.0600000000000005,0.06437500000000002,0.59375,1.8053124999999999,0.00011306997582020465,5,5
lower,sat_sun,5,4,7,27,1.9400000000000004,0.07185185185185186,0.5925925925925926,1.8003703703703704,0.00012385023788186959,4,4
lower,sat_sun,5,6,7,27,1.9400000000000004,0.07185185185185186,0.5925925925925926,1.8003703703703704,0.00012385023788186959,4,4
higher,fri_sun,7,0,7,44,1.87,0.0425,0.4772727272727273,2.2200000000000006,0.00010487910204648393,3,3
higher,fri_sun,9,4,7,49,1.8199999999999998,0.03714285714285714,0.4897959183673469,2.1626530612244896,9.664196815489845e-05,3,3
higher,fri_sun,9,6,7,49,1.8199999999999998,0.03714285714285714,0.4897959183673469,2.1626530612244896,9.664196815489845e-05,3,3
higher,sat_sun,10,4,7,43,1.5799999999999992,0.03674418604651161,0.4883720930232558,2.145581395348837,0.00010615421248303095,5,5
higher,sat_sun,10,6,7,43,1.5799999999999992,0.03674418604651161,0.4883720930232558,2.145581395348837,0.00010615421248303095,5,5
higher,fri_sun,10,8,7,49,1.5599999999999996,0.031836734693877544,0.4897959183673469,2.147959183673469,9.938774201506998e-05,3,3
higher,fri_sun,6,4,7,39,1.54,0.03948717948717949,0.48717948717948717,2.174102564102564,0.0001027105830515266,5,5
higher,fri_sun,6,6,7,39,1.54,0.03948717948717949,0.48717948717948717,2.174102564102564,0.0001027105830515266,5,5
lower,fri_sun,7,4,7,43,1.480000000000001,0.03441860465116282,0.5813953488372093,1.788837209302326,9.976070299447542e-05,5,5
lower,fri_sun,7,6,7,43,1.480000000000001,0.03441860465116282,0.5813953488372093,1.788837209302326,9.976070299447542e-05,5,5
higher,fri_sun,8,8,7,43,1.4699999999999998,0.034186046511627904,0.4883720930232558,2.1518604651162794,0.00010431763148806828,3,3
higher,sat_sun,10,8,7,41,1.3099999999999992,0.0319512195121951,0.4878048780487805,2.1329268292682926,0.00011062605161123436,4,4
lower,fri_sun,7,8,7,40,1.3000000000000003,0.03250000000000001,0.575,1.80075,0.00010633123500289693,5,5
higher,fri_sun,5,0,7,33,1.2999999999999994,0.03939393939393938,0.48484848484848486,2.1978787878787878,0.0001178449457452721,3,3
lower,fri_sun,5,4,7,33,1.0600000000000005,0.032121212121212134,0.5757575757575758,1.8024242424242425,0.00011031510539014716,5,5
lower,fri_sun,5,6,7,33,1.0600000000000005,0.032121212121212134,0.5757575757575758,1.8024242424242425,0.00011031510539014716,5,5
higher,fri_sun,10,4,7,52,0.8299999999999996,0.015961538461538454,0.4807692307692308,2.1598076923076923,9.43550036035576e-05,3,3
