rank_desc,bets,hits,hit_rate,profit_total,roi,avg_odds,avg_bdi,avg_margin,misses
61,12,8,0.6666666666666666,5.47,0.4558333333333333,2.2183333333333333,2.221545312649534e-05,5.973333333333334,4
62,11,8,0.7272727272727273,6.99,0.6354545454545455,2.209090909090909,2.335134524150288e-05,6.070909090909091,3
63,11,6,0.5454545454545454,2.99,0.27181818181818185,2.2636363636363637,2.299658383317466e-05,6.568181818181818,5
64,11,5,0.45454545454545453,-0.2500000000000002,-0.02272727272727275,2.2145454545454544,2.2813365278528118e-05,6.922727272727273,6
65,11,6,0.5454545454545454,2.05,0.18636363636363634,2.1854545454545455,2.2462716821128973e-05,5.91090909090909,5
66,11,3,0.2727272727272727,-4.359999999999999,-0.3963636363636363,2.1863636363636365,2.1864507844216437e-05,5.180909090909091,8
67,11,7,0.6363636363636364,4.92,0.44727272727272727,2.28,2.143532251193943e-05,6.001818181818181,4
68,11,4,0.36363636363636365,-2.3499999999999996,-0.2136363636363636,2.1999999999999997,2.0993716631859656e-05,5.713636363636364,7
69,11,4,0.36363636363636365,-2.0599999999999996,-0.18727272727272723,2.2536363636363634,2.0519003026209526e-05,6.958181818181819,7
70,10,5,0.5,0.7100000000000004,0.07100000000000004,2.1510000000000002,2.217997844158546e-05,6.447,5
71,10,7,0.7,5.199999999999999,0.5199999999999999,2.18,2.1930613604216423e-05,6.2219999999999995,3
72,10,6,0.6,2.49,0.24900000000000003,2.184,2.1524667971770875e-05,6.628,4
73,10,5,0.5,0.6099999999999999,0.060999999999999985,2.121,2.131136271478184e-05,6.475,5
74,10,6,0.6,3.29,0.329,2.174,2.1090871897961002e-05,5.853,4
75,10,7,0.7,5.47,0.5469999999999999,2.202,2.0615959661827596e-05,6.301,3
76,10,3,0.3,-3.78,-0.378,2.086,2.0252452890122484e-05,6.2780000000000005,7
77,10,5,0.5,1.13,0.11299999999999999,2.1559999999999997,2.0004729313272074e-05,6.135,5
