strategy,bets,hits,misses,hit_rate,profit_total,roi,avg_odds,avg_bdi,over_share,top_n
top_81,1048,458,590,0.43702290076335876,-38.68,-0.036908396946564885,2.23162213740458,9.56127730719222e-05,0.5849236641221374,81
top_82,1058,464,594,0.43856332703213613,-35.56,-0.033610586011342154,2.2314177693761814,9.488174415879123e-05,0.5831758034026465,82
top_83,1068,467,601,0.43726591760299627,-39.239999999999995,-0.03674157303370786,2.230814606741573,9.416181017797294e-05,0.5852059925093633,83
top_84,1078,470,608,0.4359925788497217,-42.67999999999999,-0.039591836734693873,2.230343228200371,9.345370365490474e-05,0.5844155844155844,84
top_85,1088,475,613,0.4365808823529412,-41.17999999999999,-0.037849264705882346,2.2315257352941176,9.275437482370247e-05,0.5854779411764706,85
top_86,1098,478,620,0.4353369763205829,-44.91,-0.04090163934426229,2.230856102003643,9.206438431739669e-05,0.5828779599271403,86
top_87,1108,481,627,0.434115523465704,-47.959999999999994,-0.043285198555956673,2.2306949458483754,9.138525868456074e-05,0.5821299638989169,87
top_88,1118,484,634,0.4329159212880143,-51.419999999999995,-0.045992844364937384,2.229901610017889,9.071473713726135e-05,0.5840787119856887,88
top_89,1128,489,639,0.43351063829787234,-50.129999999999995,-0.04444148936170212,2.230026595744681,9.005224379469973e-05,0.5842198581560284,89
top_90,1138,496,642,0.4358523725834798,-45.08,-0.03961335676625659,2.2291739894551847,8.939771845176984e-05,0.5834797891036907,90
top_91,1148,501,647,0.436411149825784,-43.81999999999999,-0.038170731707317065,2.2288937282229964,8.875303763374067e-05,0.5836236933797909,91
top_92,1158,505,653,0.43609671848013815,-44.67999999999999,-0.03858376511226252,2.2291191709844558,8.811525621879651e-05,0.582901554404145,92
top_93,1168,512,656,0.4383561643835616,-39.76,-0.03404109589041096,2.228775684931507,8.748564335300364e-05,0.5821917808219178,93
top_94,1178,516,662,0.4380305602716469,-40.959999999999994,-0.03477079796264855,2.2281239388794565,8.6864570113397e-05,0.5806451612903226,94
top_95,1188,519,669,0.43686868686868685,-44.709999999999994,-0.03763468013468013,2.227946127946128,8.625099510231928e-05,0.5808080808080808,95
top_96,1198,524,674,0.4373956594323873,-43.94,-0.03667779632721202,2.2282470784641064,8.564357171876603e-05,0.5818030050083473,96
top_97,1208,528,680,0.4370860927152318,-44.41,-0.03676324503311258,2.228501655629139,8.504326597716829e-05,0.581953642384106,97
top_98,1218,532,686,0.4367816091954023,-45.78999999999999,-0.037594417077175694,2.2281362889983582,8.444743452070287e-05,0.5821018062397373,98
top_99,1228,537,691,0.4372964169381108,-44.8,-0.036482084690553744,2.2276465798045604,8.385978347196787e-05,0.5838762214983714,99
top_100,1238,541,697,0.4369951534733441,-45.81999999999999,-0.03701130856219709,2.2275444264943456,8.327932774357002e-05,0.5823909531502424,100
top_101,1248,542,706,0.4342948717948718,-53.64000000000001,-0.04298076923076924,2.2274839743589743,8.270539208468346e-05,0.5825320512820513,101
top_102,1258,545,713,0.4332273449920509,-57.19,-0.0454610492845787,2.226295707472178,8.213814763974821e-05,0.581081081081081,102
top_103,1268,549,719,0.43296529968454256,-58.61000000000001,-0.0462223974763407,2.2258753943217666,8.157865727414067e-05,0.5780757097791798,103
top_104,1278,554,724,0.433489827856025,-57.3,-0.04483568075117371,2.2256259780907666,8.102580511438631e-05,0.5758998435054773,104
top_105,1288,558,730,0.4332298136645963,-57.910000000000004,-0.04496118012422361,2.2259006211180123,8.047841026734731e-05,0.5753105590062112,105
top_106,1298,563,735,0.4337442218798151,-57.41999999999999,-0.04423728813559321,2.224984591679507,7.993732979979876e-05,0.5755007704160247,106
top_107,1308,569,739,0.4350152905198777,-53.749999999999986,-0.04109327217125381,2.2251070336391434,7.940317904575486e-05,0.5741590214067278,107
top_108,1318,572,746,0.4339908952959029,-57.39999999999999,-0.043550834597875565,2.2249468892261,7.887454412707728e-05,0.5720789074355084,108
top_109,1328,577,751,0.43448795180722893,-56.519999999999996,-0.04256024096385542,2.224691265060241,7.835204340748838e-05,0.572289156626506,109
top_110,1338,580,758,0.4334828101644245,-59.489999999999995,-0.044461883408071744,2.2253662182361733,7.783410988038004e-05,0.570254110612855,110
top_111,1348,583,765,0.43249258160237386,-62.72999999999999,-0.046535608308605335,2.2254376854599407,7.731981945497573e-05,0.56973293768546,111
