Partido,Fecha_Hora_Colombia,Liga,Tipo_Mercado,Mercado,Mejor_Cuota,Mejor_Casa,Num_Casas,Score_Final,Diferencia_Cuota_Promedio,Volatilidad_Pct,Margen_Casa_Pct,Cuota_Promedio_Mercado,Todas_Las_Cuotas,_source_file,_loaded_at,Resultado,Resultado_Cumplido,Confianza,Marcador,Estado_Partido,Fuente_Web,Actualizado_Web_UTC,Estrategia,Prioridad
Samsunspor vs Basaksehir,2025-12-14 12:00:00,Super League,Goles (Over/Under),Under 2.5,1.99,pinnacle,3,0.8401,0.0533,2.12,3.44,1.9367,pinnacle:1.99; betsson:1.93; codere_it:1.89,analisis_mercados_fusionado_20251213_con_confianza_con_resultados_days7.csv,2025-12-15T20:48:10,Acertado,,51.93,0-2,,,,,
Jahn Regensburg vs Waldhof Mannheim,2025-12-14 10:30:00,3. Liga,Doble Chance,X2,1.5,pinnacle,3,0.4647,0.0367,1.96,5.38,1.4633,pinnacle:1.5; betsson:1.46; codere_it:1.43,analisis_mercados_fusionado_20251213_con_confianza_con_resultados_days7.csv,2025-12-15T20:48:10,Fallido,,51.86,3-0,,,,,
Atromitos Athens vs PAOK Thessaloniki,2025-12-14 11:00:00,Super League,Goles (Over/Under),Over 2.5,1.81,betsson,2,0.396,0.03,1.69,5.0,1.78,betsson:1.81; codere_it:1.75,analisis_mercados_fusionado_20251213_con_confianza_con_resultados_days7.csv,2025-12-15T20:48:10,Fallido,,51.8,2-0,,,,,
Arouca vs Alverca,2025-12-14 15:30:00,Primeira Liga,Doble Chance,X2,1.41,pinnacle,3,0.25,0.0167,0.9,5.0,1.3933,pinnacle:1.41; marathonbet:1.39; betsson:1.38,analisis_mercados_fusionado_20251213_con_confianza_con_resultados_days7.csv,2025-12-15T20:48:10,Fallido,,51.71,1-0,,,,,
Sparta Rotterdam vs Heerenveen,2025-12-14 06:15:00,Eredivisie,Doble Chance,X2,1.44,pinnacle,4,0.415,0.0325,2.03,4.0,1.4075,pinnacle:1.44; betsson:1.43; codere_it:1.39; marathonbet:1.37,analisis_mercados_fusionado_20251213_con_confianza_con_resultados_days7.csv,2025-12-15T20:48:10,Acertado,,51.48,0-3,,,,,
Atromitos Athens vs PAOK Thessaloniki,2025-12-14 11:00:00,Super League,Doble Chance,X2,1.1,pinnacle,3,0.3972,0.0167,1.57,4.96,1.0833,pinnacle:1.1; betsson:1.09; codere_it:1.06,analisis_mercados_fusionado_20251213_con_confianza_con_resultados_days7.csv,2025-12-15T20:48:10,Fallido,,51.42,2-0,,,,,
Crystal Palace vs Manchester City,2025-12-14 09:00:00,EPL,Goles (Over/Under),Over 2.5,1.68,betsson,2,0.3936,0.03,1.82,4.98,1.65,betsson:1.68; codere_it:1.62,analisis_mercados_fusionado_20251213_con_confianza_con_resultados_days7.csv,2025-12-15T20:48:10,Acertado,,51.32,0-3,,,,,
Werder Bremen vs VfB Stuttgart,2025-12-14 13:30:00,Bundesliga,Doble Chance,X2,1.45,pinnacle,4,0.2738,0.0175,1.25,3.36,1.4325,pinnacle:1.45; marathonbet:1.45; codere_it:1.42; betsson:1.41,analisis_mercados_fusionado_20251213_con_confianza_con_resultados_days7.csv,2025-12-15T20:48:10,Acertado,,51.27,0-4,,,,,
Motor Lublin vs Jagiellonia Białystok,2025-12-14 11:30:00,Ekstraklasa,Goles (Over/Under),Over 2.5,1.65,betsson,2,0.0758,0.01,0.61,7.78,1.64,betsson:1.65; codere_it:1.63,analisis_mercados_fusionado_20251213_con_confianza_con_resultados_days7.csv,2025-12-15T20:48:10,Fallido,,51.24,1-1,,,,,
Genk vs Westerlo,2025-12-14 13:15:00,Belgium First Div,Doble Chance,X2,2.15,pinnacle,3,0.3826,0.03,1.68,4.26,2.12,pinnacle:2.15; marathonbet:2.14; betsson:2.07,analisis_mercados_fusionado_20251213_con_confianza_con_resultados_days7.csv,2025-12-15T20:48:10,Acertado,,51.23,1-1,,,,,
Genoa vs Inter Milan,2025-12-14 12:00:00,Serie A,Goles (Over/Under),Under 2.5,1.85,pinnacle,3,0.456,0.0133,0.68,3.07,1.8367,pinnacle:1.85; codere_it:1.84; betsson:1.82,analisis_mercados_fusionado_20251213_con_confianza_con_resultados_days7.csv,2025-12-15T20:48:10,Fallido,,51.1,1-2,,,,,
Wehen Wiesbaden vs FC Energie Cottbus,2025-12-14 07:30:00,3. Liga,Goles (Over/Under),Over 2.5,1.58,betsson,2,0.0904,0.01,0.64,7.74,1.57,betsson:1.58; codere_it:1.56,analisis_mercados_fusionado_20251213_con_confianza_con_resultados_days7.csv,2025-12-15T20:48:10,Acertado,,50.92,3-1,,,,,
Gazişehir Gaziantep vs Goztepe,2025-12-14 06:30:00,Super League,Goles (Over/Under),Under 2.5,1.91,pinnacle,3,0.8343,0.0667,2.71,3.38,1.8433,pinnacle:1.91; betsson:1.83; codere_it:1.79,analisis_mercados_fusionado_20251213_con_confianza_con_resultados_days7.csv,2025-12-15T20:48:10,Acertado,,50.84,0-1,,,,,
Bologna vs Juventus,2025-12-14 14:45:00,Serie A,Goles (Over/Under),Over 2.5,2.18,betsson,2,0.2114,0.02,0.93,6.48,2.16,betsson:2.18; codere_it:2.14,analisis_mercados_fusionado_20251213_con_confianza_con_resultados_days7.csv,2025-12-15T20:48:10,Fallido,,50.18,0-1,,,,,
Dender vs Club Brugge,2025-12-14 10:00:00,Belgium First Div,Doble Chance,X2,1.19,pinnacle,3,0.3797,0.0267,2.14,4.24,1.1633,pinnacle:1.19; betsson:1.17; marathonbet:1.13,analisis_mercados_fusionado_20251213_con_confianza_con_resultados_days7.csv,2025-12-15T20:48:10,Acertado,,49.88,1-5,,,,,
Brentford vs Leeds United,2025-12-14 11:30:00,EPL,Doble Chance,X2,1.85,pinnacle,4,0.142,0.01,0.94,3.45,1.84,pinnacle:1.85; marathonbet:1.85; betsson:1.85; codere_it:1.81,analisis_mercados_fusionado_20251213_con_confianza_con_resultados_days7.csv,2025-12-15T20:48:10,Acertado,,49.8,1-1,,,,,
Toluca vs Tigres,2025-12-14 20:00:00,Liga MX,Doble Chance,X2,1.87,pinnacle,3,0.3642,0.0467,1.86,5.19,1.8233,pinnacle:1.87; marathonbet:1.81; betsson:1.79,analisis_mercados_fusionado_20251213_con_confianza_con_resultados_days7.csv,2025-12-15T20:48:10,Fallido,,49.26,2-1,,,,,
Marseille vs AS Monaco,2025-12-14 14:45:00,Ligue 1,Doble Chance,X2,2.0,marathonbet,4,0.2947,0.0525,2.0,3.19,1.9475,marathonbet:2.0; pinnacle:1.97; betsson:1.91; codere_it:1.91,analisis_mercados_fusionado_20251213_con_confianza_con_resultados_days7.csv,2025-12-15T20:48:10,Fallido,,49.21,1-0,,,,,
FC Zwolle vs Fortuna Sittard,2025-12-13 15:00:00,Eredivisie,Goles (Over/Under),Over 2.5,1.69,betsson,2,-0.029,0.01,0.6,6.56,1.68,betsson:1.69; codere_it:1.67,analisis_mercados_fusionado_20251213_con_confianza_con_resultados_days7.csv,2025-12-15T20:48:10,Fallido,,48.85,1-0,,,,,
Werder Bremen vs VfB Stuttgart,2025-12-14 13:30:00,Bundesliga,Goles (Over/Under),Under 3.5,1.58,betsson,2,0.2003,0.01,0.64,6.39,1.57,betsson:1.58; codere_it:1.56,analisis_mercados_fusionado_20251213_con_confianza_con_resultados_days7.csv,2025-12-15T20:48:10,Fallido,,48.76,0-4,,,,,
Legia Warszawa vs Piast Gliwice,2025-12-14 14:15:00,Ekstraklasa,Goles (Over/Under),Over 2.5,1.98,betsson,2,0.0941,0.015,0.76,7.65,1.965,betsson:1.98; codere_it:1.95,analisis_mercados_fusionado_20251213_con_confianza_con_resultados_days7.csv,2025-12-15T20:48:10,Fallido,,48.6,0-1,,,,,
Sevilla vs Oviedo,2025-12-14 08:00:00,La Liga,Doble Chance,X2,1.87,marathonbet,4,0.2635,0.0425,1.99,3.15,1.8275,marathonbet:1.87; pinnacle:1.84; codere_it:1.83; betsson:1.77,analisis_mercados_fusionado_20251213_con_confianza_con_resultados_days7.csv,2025-12-15T20:48:10,Fallido,,48.38,4-0,,,,,
Aris Thessaloniki vs Olympiakos Piraeus,2025-12-14 13:00:00,Super League,Doble Chance,X2,1.09,betsson,3,0.2244,0.0133,1.16,5.66,1.0767,betsson:1.09; pinnacle:1.08; codere_it:1.06,analisis_mercados_fusionado_20251213_con_confianza_con_resultados_days7.csv,2025-12-15T20:48:10,Acertado,,47.99,0-0,,,,,
Fiorentina vs Hellas Verona,2025-12-14 09:00:00,Serie A,Goles (Over/Under),Over 2.5,2.22,betsson,2,0.3221,0.05,2.3,5.65,2.17,betsson:2.22; codere_it:2.12,analisis_mercados_fusionado_20251213_con_confianza_con_resultados_days7.csv,2025-12-15T20:48:10,Acertado,,47.55,1-2,,,,,
Carrarese vs Virtus Entella,2025-12-14 09:00:00,Serie B,Doble Chance,X2,1.52,codere_it,4,0.264,0.025,1.67,4.81,1.495,codere_it:1.52; pinnacle:1.52; marathonbet:1.47; betsson:1.47,analisis_mercados_fusionado_20251213_con_confianza_con_resultados_days7.csv,2025-12-15T20:48:10,Fallido,,47.17,3-1,,,,,
Auxerre vs Lille,2025-12-14 11:15:00,Ligue 1,Goles (Over/Under),Under 2.5,1.93,pinnacle,3,0.6113,0.03,1.87,2.83,1.9,pinnacle:1.93; codere_it:1.92; betsson:1.85,analisis_mercados_fusionado_20251213_con_confianza_con_resultados_days7.csv,2025-12-15T20:48:10,Fallido,,46.95,3-4,,,,,
Fiorentina vs Hellas Verona,2025-12-14 09:00:00,Serie A,Doble Chance,X2,1.95,marathonbet,4,0.1302,0.0275,1.18,3.84,1.9225,marathonbet:1.95; pinnacle:1.94; codere_it:1.9; betsson:1.9,analisis_mercados_fusionado_20251213_con_confianza_con_resultados_days7.csv,2025-12-15T20:48:10,Acertado,,46.69,1-2,,,,,
FC Blau-Weiß Linz vs Rapid Wien,2025-12-14 08:30:00,Austrian Bundesliga,Goles (Over/Under),Under 2.5,1.85,pinnacle,3,0.6024,0.0333,1.58,3.32,1.8167,pinnacle:1.85; codere_it:1.82; betsson:1.78,analisis_mercados_fusionado_20251213_con_confianza_con_resultados_days7.csv,2025-12-15T20:48:10,Acertado,,46.63,1-1,,,,,
Panathinaikos vs Volos FC,2025-12-14 14:00:00,Super League,Doble Chance,X2,3.46,pinnacle,3,0.3881,0.2,5.01,5.23,3.26,pinnacle:3.46; betsson:3.26; codere_it:3.06,analisis_mercados_fusionado_20251213_con_confianza_con_resultados_days7.csv,2025-12-15T20:48:10,Fallido,,46.56,2-1,,,,,
Celta Vigo vs Athletic Bilbao,2025-12-14 10:15:00,La Liga,Goles (Over/Under),Over 2.5,2.12,betsson,2,0.1659,0.025,1.19,6.69,2.095,betsson:2.12; codere_it:2.07,analisis_mercados_fusionado_20251213_con_confianza_con_resultados_days7.csv,2025-12-15T20:48:10,Fallido,,46.37,2-0,,,,,
Sporting Lisbon vs AVS Futebol SAD,2025-12-13 15:30:00,Primeira Liga,Goles (Over/Under),Under 3.5,1.82,pinnacle,2,0.4086,0.035,1.96,4.21,1.785,pinnacle:1.82; betsson:1.75,analisis_mercados_fusionado_20251213_con_confianza_con_resultados_days7.csv,2025-12-15T20:48:10,Fallido,,46.11,6-0,,,,,
Brentford vs Leeds United,2025-12-14 11:30:00,EPL,Goles (Over/Under),Under 2.5,1.97,pinnacle,3,0.4437,0.0267,1.06,2.84,1.9433,pinnacle:1.97; codere_it:1.94; betsson:1.92,analisis_mercados_fusionado_20251213_con_confianza_con_resultados_days7.csv,2025-12-15T20:48:10,Acertado,,45.99,1-1,,,,,
Paris FC vs Toulouse,2025-12-13 15:05:00,Ligue 1,Goles (Over/Under),Over 2.5,2.12,betsson,2,0.2638,0.045,2.17,5.99,2.075,betsson:2.12; codere_it:2.03,analisis_mercados_fusionado_20251213_con_confianza_con_resultados_days7.csv,2025-12-15T20:48:10,Acertado,,45.86,0-3,,,,,
