Partido,Fecha_Hora_Colombia,Estado,Tipo_Mercado,Mercado,Mejor_Cuota,Mejor_Casa,Num_Casas,Score_Final,Diferencia_Cuota_Promedio,Volatilidad_Pct,Margen_Casa_Pct,Cuota_Promedio_Mercado,Todas_Las_Cuotas
Oviedo vs Mallorca,2025-12-05 15:00:00,⏰ Próximo,Goles (Over/Under),Over 2.25,2.06,pinnacle,1,0.2245,0.0,,4.41,2.06,pinnacle:2.06
Oviedo vs Mallorca,2025-12-05 15:00:00,⏰ Próximo,Goles (Over/Under),Under 2.25,1.79,pinnacle,1,0.2245,0.0,,4.41,1.79,pinnacle:1.79
Brest vs AS Monaco,2025-12-05 13:00:00,⏰ Próximo,Goles (Over/Under),Over 3.0,1.96,pinnacle,1,0.2244,0.0,,4.5,1.96,pinnacle:1.96
Brest vs AS Monaco,2025-12-05 13:00:00,⏰ Próximo,Goles (Over/Under),Under 3.0,1.87,pinnacle,1,0.2244,0.0,,4.5,1.87,pinnacle:1.87
Cremonese vs Lecce,2025-12-07 06:30:00,⏰ Próximo,Goles (Over/Under),Over 2.0,1.81,pinnacle,1,0.2239,0.0,,4.51,1.81,pinnacle:1.81
Cremonese vs Lecce,2025-12-07 06:30:00,⏰ Próximo,Goles (Over/Under),Under 2.0,2.03,pinnacle,1,0.2239,0.0,,4.51,2.03,pinnacle:2.03
Elche CF vs Girona,2025-12-07 08:00:00,⏰ Próximo,Goles (Over/Under),Over 2.5,1.99,pinnacle,2,0.2227,0.02,1.02,4.31,1.97,pinnacle:1.99; betsson:1.95
Elche CF vs Girona,2025-12-07 08:00:00,⏰ Próximo,Goles (Over/Under),Under 2.5,1.85,pinnacle,2,0.2227,0.015,0.82,4.31,1.835,pinnacle:1.85; betsson:1.82
Sporting Lisbon vs CF Estrela,2025-11-30 13:00:00,⏰ Próximo,Goles (Over/Under),Over 3.25,1.86,pinnacle,1,0.2218,0.0,,4.78,1.86,pinnacle:1.86
Sporting Lisbon vs CF Estrela,2025-11-30 13:00:00,⏰ Próximo,Goles (Over/Under),Under 3.25,1.96,pinnacle,1,0.2218,0.0,,4.78,1.96,pinnacle:1.96
Gil Vicente vs Tondela,2025-11-29 15:30:00,⏰ Próximo,Goles (Over/Under),Over 2.25,1.85,pinnacle,1,0.2204,0.0,,4.31,1.85,pinnacle:1.85
Gil Vicente vs Tondela,2025-11-29 15:30:00,⏰ Próximo,Goles (Over/Under),Under 2.25,1.99,pinnacle,1,0.2204,0.0,,4.31,1.99,pinnacle:1.99
RB Leipzig vs Eintracht Frankfurt,2025-12-06 12:30:00,⏰ Próximo,Goles (Over/Under),Over 3.5,1.9,pinnacle,2,0.2157,0.01,0.53,4.45,1.89,pinnacle:1.9; betsson:1.88
RB Leipzig vs Eintracht Frankfurt,2025-12-06 12:30:00,⏰ Próximo,Goles (Over/Under),Under 3.5,1.93,pinnacle,2,0.2157,0.025,1.31,4.45,1.905,pinnacle:1.93; betsson:1.88
Villarreal vs Getafe,2025-12-06 08:00:00,⏰ Próximo,Goles (Over/Under),Over 2.25,1.84,pinnacle,1,0.2138,0.0,,4.35,1.84,pinnacle:1.84
Villarreal vs Getafe,2025-12-06 08:00:00,⏰ Próximo,Goles (Over/Under),Under 2.25,2.0,pinnacle,1,0.2138,0.0,,4.35,2.0,pinnacle:2.0
Cagliari vs AS Roma,2025-12-07 09:00:00,⏰ Próximo,Goles (Over/Under),Over 2.25,1.84,pinnacle,1,0.2138,0.0,,4.35,1.84,pinnacle:1.84
Cagliari vs AS Roma,2025-12-07 09:00:00,⏰ Próximo,Goles (Over/Under),Under 2.25,2.0,pinnacle,1,0.2138,0.0,,4.35,2.0,pinnacle:2.0
Vitória SC vs AVS Futebol SAD,2025-11-28 15:15:00,⏰ Próximo,Goles (Over/Under),Over 2.25,1.84,pinnacle,1,0.2138,0.0,,4.35,1.84,pinnacle:1.84
Vitória SC vs AVS Futebol SAD,2025-11-28 15:15:00,⏰ Próximo,Goles (Over/Under),Under 2.25,2.0,pinnacle,1,0.2138,0.0,,4.35,2.0,pinnacle:2.0
FC Porto vs Estoril,2025-11-30 15:30:00,⏰ Próximo,Goles (Over/Under),Over 3.0,1.88,pinnacle,1,0.212,0.0,,5.0,1.88,pinnacle:1.88
FC Porto vs Estoril,2025-11-30 15:30:00,⏰ Próximo,Goles (Over/Under),Under 3.0,1.93,pinnacle,1,0.212,0.0,,5.0,1.93,pinnacle:1.93
Fenerbahce vs Ferencváros TC,2025-11-27 12:45:00,⏰ Próximo,Goles (Over/Under),Over 2.5,1.64,codere_it,2,0.2108,0.03,1.86,4.08,1.61,codere_it:1.64; betsson:1.58
VfB Stuttgart vs Bayern Munich,2025-12-06 09:30:00,⏰ Próximo,Goles (Over/Under),Over 3.5,1.83,pinnacle,2,0.2068,0.005,0.27,4.4,1.825,pinnacle:1.83; betsson:1.82
VfB Stuttgart vs Bayern Munich,2025-12-06 09:30:00,⏰ Próximo,Goles (Over/Under),Under 3.5,2.01,pinnacle,2,0.2068,0.03,1.52,4.4,1.98,pinnacle:2.01; betsson:1.95
Fortuna Sittard vs Heracles Almelo,2025-11-29 12:45:00,⏰ Próximo,Goles (Over/Under),Over 2.75,1.88,pinnacle,1,0.2068,0.0,,4.74,1.88,pinnacle:1.88
Fortuna Sittard vs Heracles Almelo,2025-11-29 12:45:00,⏰ Próximo,Goles (Over/Under),Under 2.75,1.94,pinnacle,1,0.2068,0.0,,4.74,1.94,pinnacle:1.94
Porto vs Nice,2025-11-27 12:45:00,⏰ Próximo,Goles (Over/Under),Over 2.75,2.0,pinnacle,1,0.2,0.0,,4.05,2.0,pinnacle:2.0
Porto vs Nice,2025-11-27 12:45:00,⏰ Próximo,Goles (Over/Under),Under 2.75,1.85,pinnacle,1,0.2,0.0,,4.05,1.85,pinnacle:1.85
Lille vs Marseille,2025-12-05 15:00:00,⏰ Próximo,Goles (Over/Under),Over 2.75,1.94,pinnacle,1,0.1973,0.0,,4.46,1.94,pinnacle:1.94
Lille vs Marseille,2025-12-05 15:00:00,⏰ Próximo,Goles (Over/Under),Under 2.75,1.89,pinnacle,1,0.1973,0.0,,4.46,1.89,pinnacle:1.89
Hellas Verona vs Atalanta BC,2025-12-06 14:45:00,⏰ Próximo,Goles (Over/Under),Over 2.5,1.96,pinnacle,2,0.1911,0.005,0.26,4.5,1.955,pinnacle:1.96; betsson:1.95
Hellas Verona vs Atalanta BC,2025-12-06 14:45:00,⏰ Próximo,Goles (Over/Under),Under 2.5,1.87,pinnacle,2,0.1911,0.025,1.36,4.5,1.845,pinnacle:1.87; betsson:1.82
Viktoria Plzeň vs SC Freiburg,2025-11-27 12:45:00,⏰ Próximo,Goles (Over/Under),Over 2.5,2.02,pinnacle,3,0.188,0.03,1.09,4.15,1.99,pinnacle:2.02; betsson:1.98; codere_it:1.97
Bologna vs Salzburg,2025-11-27 15:00:00,⏰ Próximo,Goles (Over/Under),Over 2.5,1.74,codere_it,2,0.1834,0.02,1.16,3.98,1.72,codere_it:1.74; betsson:1.7
Bologna vs Salzburg,2025-11-27 15:00:00,⏰ Próximo,Goles (Over/Under),Under 2.5,2.15,codere_it,2,0.1834,0.015,0.7,3.98,2.135,codere_it:2.15; betsson:2.12
1. FC Heidenheim vs SC Freiburg,2025-12-06 09:30:00,⏰ Próximo,Goles (Over/Under),Over 2.5,1.85,pinnacle,2,0.182,0.015,0.82,4.56,1.835,pinnacle:1.85; betsson:1.82
1. FC Heidenheim vs SC Freiburg,2025-12-06 09:30:00,⏰ Próximo,Goles (Over/Under),Under 2.5,1.98,pinnacle,2,0.182,0.015,0.76,4.56,1.965,pinnacle:1.98; betsson:1.95
Toulouse vs Strasbourg,2025-12-06 13:00:00,⏰ Próximo,Goles (Over/Under),Under 2.5,1.98,pinnacle,2,0.182,0.08,4.21,4.56,1.9,pinnacle:1.98; betsson:1.82
Lorient vs Lyon,2025-12-07 14:45:00,⏰ Próximo,Goles (Over/Under),Over 2.5,1.85,pinnacle,2,0.182,0.015,0.82,4.56,1.835,pinnacle:1.85; betsson:1.82
Lorient vs Lyon,2025-12-07 14:45:00,⏰ Próximo,Goles (Over/Under),Under 2.5,1.98,pinnacle,2,0.182,0.015,0.76,4.56,1.965,pinnacle:1.98; betsson:1.95
Paris Saint Germain vs Rennes,2025-12-06 15:05:00,⏰ Próximo,Goles (Over/Under),Over 3.25,1.83,pinnacle,1,0.1776,0.0,,4.9,1.83,pinnacle:1.83
Paris Saint Germain vs Rennes,2025-12-06 15:05:00,⏰ Próximo,Goles (Over/Under),Under 3.25,1.99,pinnacle,1,0.1776,0.0,,4.9,1.99,pinnacle:1.99
Lille vs Dinamo Zagreb,2025-11-27 12:45:00,⏰ Próximo,Goles (Over/Under),Over 2.75,1.85,pinnacle,1,0.1671,0.0,,4.31,1.85,pinnacle:1.85
Lille vs Dinamo Zagreb,2025-11-27 12:45:00,⏰ Próximo,Goles (Over/Under),Under 2.75,1.99,pinnacle,1,0.1671,0.0,,4.31,1.99,pinnacle:1.99
Wolverhampton Wanderers vs Nottingham Forest,2025-12-03 14:30:00,⏰ Próximo,Goles (Over/Under),Over 2.5,2.04,pinnacle,2,0.1663,0.01,0.49,4.27,2.03,pinnacle:2.04; betsson:2.02
Wolverhampton Wanderers vs Nottingham Forest,2025-12-03 14:30:00,⏰ Próximo,Goles (Over/Under),Under 2.5,1.81,pinnacle,2,0.1663,0.015,0.84,4.27,1.795,pinnacle:1.81; betsson:1.78
Go Ahead Eagles vs VfB Stuttgart,2025-11-27 15:00:00,⏰ Próximo,Goles (Over/Under),Over 3.0,1.92,pinnacle,1,0.1655,0.0,,4.17,1.92,pinnacle:1.92
Go Ahead Eagles vs VfB Stuttgart,2025-11-27 15:00:00,⏰ Próximo,Goles (Over/Under),Under 3.0,1.92,pinnacle,1,0.1655,0.0,,4.17,1.92,pinnacle:1.92
Espanyol vs Sevilla,2025-11-24 15:00:00,⏰ Próximo,Goles (Over/Under),Over 2.5,2.2,codere_it,2,0.1628,0.04,1.85,3.93,2.16,codere_it:2.2; betsson:2.12
Espanyol vs Sevilla,2025-11-24 15:00:00,⏰ Próximo,Goles (Over/Under),Under 2.5,1.71,codere_it,2,0.1628,0.015,0.88,3.93,1.695,codere_it:1.71; betsson:1.68
Red Star Belgrade vs FCSB,2025-11-27 15:00:00,⏰ Próximo,Goles (Over/Under),Over 2.5,1.72,codere_it,2,0.1588,0.01,0.58,4.22,1.71,codere_it:1.72; betsson:1.7
Red Star Belgrade vs FCSB,2025-11-27 15:00:00,⏰ Próximo,Goles (Over/Under),Under 2.5,2.17,codere_it,2,0.1588,0.025,1.17,4.22,2.145,codere_it:2.17; betsson:2.12
Pisa vs Parma,2025-12-08 09:00:00,⏰ Próximo,Goles (Over/Under),Over 2.25,2.06,pinnacle,1,0.1587,0.0,,4.41,2.06,pinnacle:2.06
Pisa vs Parma,2025-12-08 09:00:00,⏰ Próximo,Goles (Over/Under),Under 2.25,1.79,pinnacle,1,0.1587,0.0,,4.41,1.79,pinnacle:1.79
Maccabi Tel Aviv vs Lyon,2025-11-27 15:00:00,⏰ Próximo,Goles (Over/Under),Over 2.5,1.88,codere_it,3,0.1544,0.0267,1.35,3.95,1.8533,codere_it:1.88; pinnacle:1.86; betsson:1.82
Aston Villa vs Young Boys,2025-11-27 12:45:00,⏰ Próximo,Goles (Over/Under),Over 3.5,2.06,codere_it,3,0.1537,0.0467,1.69,4.1,2.0133,codere_it:2.06; pinnacle:2.0; betsson:1.98
Vasco da Gama vs Internacional,2025-11-28 17:30:00,⏰ Próximo,Goles (Over/Under),Over 2.5,2.12,codere_it,2,0.1486,0.0,0.0,5.99,2.12,codere_it:2.12; betsson:2.12
Vasco da Gama vs Internacional,2025-11-28 17:30:00,⏰ Próximo,Goles (Over/Under),Under 2.5,1.7,codere_it,2,0.1486,0.025,1.49,5.99,1.675,codere_it:1.7; betsson:1.65
Real Madrid vs Celta Vigo,2025-12-07 15:00:00,⏰ Próximo,Goles (Over/Under),Over 3.5,1.85,pinnacle,2,0.1452,0.015,0.82,4.82,1.835,pinnacle:1.85; betsson:1.82
Real Madrid vs Celta Vigo,2025-12-07 15:00:00,⏰ Próximo,Goles (Over/Under),Under 3.5,1.97,pinnacle,2,0.1452,0.01,0.51,4.82,1.96,pinnacle:1.97; betsson:1.95
Fenerbahce vs Ferencváros TC,2025-11-27 12:45:00,⏰ Próximo,Goles (Over/Under),Over 3.0,2.0,pinnacle,1,0.1356,0.0,,4.35,2.0,pinnacle:2.0
Fenerbahce vs Ferencváros TC,2025-11-27 12:45:00,⏰ Próximo,Goles (Over/Under),Under 3.0,1.84,pinnacle,1,0.1356,0.0,,4.35,1.84,pinnacle:1.84
AS Roma vs FC Midtjylland,2025-11-27 12:45:00,⏰ Próximo,Goles (Over/Under),Over 2.5,1.66,codere_it,2,0.1341,0.02,1.22,4.1,1.64,codere_it:1.66; betsson:1.62
Athletic Bilbao vs Atlético Madrid,2025-12-06 15:00:00,⏰ Próximo,Goles (Over/Under),Over 2.25,1.88,pinnacle,1,0.1329,0.0,,4.74,1.88,pinnacle:1.88
Athletic Bilbao vs Atlético Madrid,2025-12-06 15:00:00,⏰ Próximo,Goles (Over/Under),Under 2.25,1.94,pinnacle,1,0.1329,0.0,,4.74,1.94,pinnacle:1.94
Metz vs Rennes,2025-11-28 14:45:00,⏰ Próximo,Goles (Over/Under),Over 2.5,1.77,codere_it,2,0.1311,0.025,1.43,3.89,1.745,codere_it:1.77; betsson:1.72
Metz vs Rennes,2025-11-28 14:45:00,⏰ Próximo,Goles (Over/Under),Under 2.5,2.11,codere_it,2,0.1311,0.015,0.72,3.89,2.095,codere_it:2.11; betsson:2.08
Bournemouth vs Everton,2025-12-02 14:30:00,⏰ Próximo,Goles (Over/Under),Over 2.5,1.97,pinnacle,2,0.1297,0.01,0.51,4.24,1.96,pinnacle:1.97; betsson:1.95
Bournemouth vs Everton,2025-12-02 14:30:00,⏰ Próximo,Goles (Over/Under),Under 2.5,1.87,pinnacle,2,0.1297,0.01,0.54,4.24,1.86,pinnacle:1.87; betsson:1.85
Bologna vs Salzburg,2025-11-27 15:00:00,⏰ Próximo,Goles (Over/Under),Over 2.75,1.92,pinnacle,1,0.1295,0.0,,4.17,1.92,pinnacle:1.92
Bologna vs Salzburg,2025-11-27 15:00:00,⏰ Próximo,Goles (Over/Under),Under 2.75,1.92,pinnacle,1,0.1295,0.0,,4.17,1.92,pinnacle:1.92
PSV Eindhoven vs FC Volendam,2025-11-30 06:15:00,⏰ Próximo,Goles (Over/Under),Over 4.5,1.98,pinnacle,3,0.1282,0.01,0.41,5.15,1.97,pinnacle:1.98; betsson:1.97; codere_it:1.96
PSV Eindhoven vs FC Volendam,2025-11-30 06:15:00,⏰ Próximo,Goles (Over/Under),Under 4.5,1.83,pinnacle,3,0.1282,0.0133,0.69,5.15,1.8167,pinnacle:1.83; codere_it:1.82; betsson:1.8
Real Betis vs Barcelona,2025-12-06 12:30:00,⏰ Próximo,Goles (Over/Under),Over 3.5,2.0,pinnacle,2,0.1264,0.01,0.5,4.35,1.99,pinnacle:2.0; betsson:1.98
Real Betis vs Barcelona,2025-12-06 12:30:00,⏰ Próximo,Goles (Over/Under),Under 3.5,1.84,pinnacle,2,0.1264,0.01,0.55,4.35,1.83,pinnacle:1.84; betsson:1.82
Ceará vs Cruzeiro,2025-11-29 19:00:00,⏰ Próximo,Goles (Over/Under),Over 1.5,1.5,codere_it,1,0.1259,0.0,,5.88,1.5,codere_it:1.5
